* Sea Surface Temperature timeseries for an undisclosed location in the ocean.
* This dataset was prepared for a Class Project for Basic Computer Skills 2
* At the Cape Peninsula University of Technology.
* Column 1: UTC Date and Time [YYYYMMDDHHMMSS]
* Column 2: Sea Surface Temperature [Deg.C]
"20190905113046,15.4611"
"20190905113052,15.4608"
"20190905113058,15.4597"
"20190905113104,15.4597"
"20190905113110,15.4591"
"20190905113116,15.4597"
"20190905113122,15.4583"
"20190905113128,15.4572"
"20190905113134,15.4575"
"20190905113140,15.4577"
"20190905113146,15.4566"
"20190905113152,15.4563"
"20190905113158,15.4555"
"20190905113204,15.4555"
"20190905113210,15.4549"
"20190905113216,15.4543"
"20190905113222,15.4535"
"20190905113228,15.4539"
"20190905113234,15.4555"
"20190905113240,15.4554"
"20190905113246,15.4555"
"20190905113252,15.4559"
"20190905113258,15.4565"
"20190905113304,15.4565"
"20190905113310,15.4574"
"20190905113316,15.4585"
"20190905113322,15.4585"
"20190905113328,15.4585"
"20190905113334,15.4584"
"20190905113340,15.4579"
"20190905113346,15.4572"
"20190905113352,15.4572"
"20190905113358,15.4574"
"20190905113404,15.4568"
"20190905113410,15.4563"
"20190905113416,15.4573"
"20190905113422,15.4575"
"20190905113428,15.4575"
"20190905113434,15.4572"
"20190905113440,15.4561"
"20190905113446,15.4563"
"20190905113452,15.4559"
"20190905113458,15.4564"
"20190905113504,15.4560"
"20190905113510,15.4559"
"20190905113516,15.4560"
"20190905113522,15.4557"
"20190905113528,15.4560"
"20190905113534,15.4565"
"20190905113540,15.4555"
"20190905113546,15.4564"
"20190905113552,15.4565"
"20190905113558,15.4562"
"20190905113604,15.4562"
"20190905113610,15.4561"
"20190905113616,15.4559"
"20190905113622,15.4563"
"20190905113628,15.4566"
"20190905113634,15.4571"
"20190905113640,15.4576"
"20190905113646,15.4573"
"20190905113652,15.4573"
"20190905113658,15.4577"
"20190905113704,15.4577"
"20190905113710,15.4570"
"20190905113716,15.4557"
"20190905113722,15.4547"
"20190905113728,15.4546"
"20190905113734,15.4542"
"20190905113740,15.4534"
"20190905113746,15.4532"
"20190905113752,15.4518"
"20190905113758,15.4515"
"20190905113804,15.4507"
"20190905113810,15.4500"
"20190905113816,15.4492"
"20190905113822,15.4477"
"20190905113828,15.4478"
"20190905113834,15.4473"
"20190905113840,15.4483"
"20190905113846,15.4473"
"20190905113852,15.4469"
"20190905113858,15.4474"
"20190905113904,15.4476"
"20190905113910,15.4477"
"20190905113916,15.4482"
"20190905113922,15.4484"
"20190905113928,15.4486"
"20190905113934,15.4486"
"20190905113940,15.4497"
"20190905113946,15.4496"
"20190905113952,15.4503"
"20190905113958,15.4511"
"20190905114004,15.4528"
"20190905114010,15.4534"
"20190905114016,15.4529"
"20190905114022,15.4532"
"20190905114028,15.4536"
"20190905114034,15.4537"
"20190905114040,15.4542"
"20190905114046,15.4545"
"20190905114052,15.4548"
"20190905114058,15.4547"
"20190905114104,15.4543"
"20190905114110,15.4534"
"20190905114116,15.4521"
"20190905114122,15.4509"
"20190905114128,15.4503"
"20190905114134,15.4500"
"20190905114140,15.4505"
"20190905114146,15.4501"
"20190905114152,15.4493"
"20190905114158,15.4471"
"20190905114204,15.4465"
"20190905114210,15.4462"
"20190905114216,15.4463"
"20190905114222,15.4457"
"20190905114228,15.4460"
"20190905114234,15.4455"
"20190905114240,15.4449"
"20190905114246,15.4445"
"20190905114252,15.4435"
"20190905114258,15.4431"
"20190905114304,15.4434"
"20190905114310,15.4430"
"20190905114316,15.4429"
"20190905114322,15.4427"
"20190905114328,15.4434"
"20190905114334,15.4440"
"20190905114340,15.4439"
"20190905114346,15.4442"
"20190905114352,15.4452"
"20190905114358,15.4463"
